Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
500645,Deepak Fertilizers &Petrochemicals,DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,Active,A ,10.00,INE501A01019,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
500660,GlaxoSmithkline Pharmaceuticals Ltd.,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,Active,A ,10.00,INE159A01016,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500670,Gujarat Narmada Valley Fert.Co.Ltd,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,Active,A ,10.00,INE113A01013,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
500674,Sanofi India Ltd,SANOFI,Sanofi India Ltd,Active,A ,10.00,INE058A01010,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500680,"Pfizer Ltd.,",PFIZER,PFIZER LTD.,Active,A ,10.00,INE182A01018,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
500690,Gujarat State Fertilizers & Chem.Ltd,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,Active,A ,2.00,INE026A01025,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,
500696,"Hindustan Unilever Ltd.,",HINDUNILVR,HINDUSTAN UNILEVER LTD.,Active,A ,1.00,INE030A01027,Diversified FMCG,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,
500710,Akzo Nobel India Limited,AKZOINDIA,Akzo Nobel India Limited,Active,A ,10.00,INE133A01011,Paints,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,
500730,NOCIL Ltd,NOCIL,NOCIL LTD.,Active,A ,10.00,INE163A01018,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
500770,Tata Chemicals Ltd,TATACHEM,TATA CHEMICALS LTD.,Active,A ,10.00,INE092A01019,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,
500790,Nestle India Ltd.,NESTLEIND,NESTLE INDIA LTD.,Active,A ,10.00,INE239A01016,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,
500800,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM,Tata Consumer Products Ltd,Active,A ,1.00,INE192A01025,Tea & Coffee,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,
500820,Asian Paints Ltd.,ASIANPAINT,ASIAN PAINTS LTD.,Active,A ,1.00,INE021A01026,Paints,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,
500825,"Britannia Industries Ltd.,",BRITANNIA,BRITANNIA INDUSTRIES LTD.,Active,A ,1.00,INE216A01030,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,
500830,"Colgate-Palmolive (India) Ltd.,",COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,Active,A ,1.00,INE259A01022,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,
500840,EIH Ltd,EIHOTEL,EIH LTD.,Active,A ,2.00,INE230A01023,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,
500850,Indian Hotels Co. Ltd,INDHOTEL,INDIAN HOTELS CO.LTD.,Active,A ,1.00,INE053A01029,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,
500870,Castrol India Ltd,CASTROLIND,CASTROL INDIA LTD.,Active,A ,5.00,INE172A01027,Lubricants,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants,
500875,ITC Ltd,ITC,ITC LTD.,Active,A ,1.00,INE154A01025,Diversified FMCG,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,
500877,Apollo Tyres Ltd,APOLLOTYRE,APOLLO TYRES LTD.,Active,A ,1.00,INE438A01022,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,
500878,"Ceat Ltd.,",CEATLTD,CEAT LTD.,Active,A ,10.00,INE482A01020,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,
500940,Finolex Industries Ltd.,FINOLEXIND,FINOLEX INDUSTRIES LTD.,Active,A ,2.00,INE183A01024,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,
501301,"Tata Investment Corporation Ltd.,",TATAINVEST,TATA INVESTMENT CORPORATION LTD.,Active,A ,10.00,INE672A01018,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,
501425,"Bombay Burmah Trading Corpn. Ltd.,",BBTC,BOMBAY BURMAH TRADING CORP.LTD.,Active,A ,2.00,INE050A01025,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,
501455,Greaves Cotton Ltd.,GREAVESCOT,GREAVES COTTON LTD.,Active,A ,2.00,INE224A01026,Diesel Engines,Equity,Industrials,Capital Goods,Industrial Products,Diesel Engines,
502090,Sagar Cements Ltd,SAGCEM,SAGAR CEMENTS LTD.-$,Active,A ,2.00,INE229C01021,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,
502219,BOROSIL RENEWABLES LIMITED,BORORENEW,Borosil Renewables Ltd,Active,A ,1.00,INE666D01022,Glass - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Glass - Industrial,
502355,"Balkrishna Industries Ltd.,",BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$,Active,A ,2.00,INE787D01026,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products,
502865,Forbes & Company Ltd,FORBESCO,FORBES & COMPANY LTD.-$,Active,A ,10.00,INE518A01013,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,
502986,Vardhman Textiles Limted,VTL,VARDHMAN TEXTILES LTD.,Active,A ,2.00,INE825A01020,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
503100,"The Phoenix Mills Ltd.,",PHOENIXLTD,The Phoenix Mills Ltd,Active,A ,2.00,INE211B01039,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
503310,Swan Energy Ltd.,SWANENERGY,SWAN ENERGY LTD.,Active,A ,1.00,INE665A01038,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
503806,"SRF Ltd.,",SRF,SRF LTD.,Active,A ,10.00,INE647A01010,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
504067,Zensar Technologies Ltd.,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,Active,A ,2.00,INE520A01027,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,
504112,Nelco Ltd,NELCO,NELCO LTD.,Active,A ,10.00,INE045B01015,Computers Hardware & Equipments,Equity,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,
504614,Sarda Energy & Minerals Ltd,SARDAEN,SARDA ENERGY & MINERALS LTD.-$,Active,A ,10.00,INE385C01013,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,
504966,"Tinplate Company of India Ltd.,",TINPLATE,TINPLATE COMPANY OF INDIA LTD.,Active,A ,10.00,INE422C01014,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,
504973,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,Active,A ,1.00,INE149A01033,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,
505200,Eicher Motors Ltd.,EICHERMOT,EICHER MOTORS LTD.,Active,A ,1.00,INE066A01021,2/3 Wheelers,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,
505255,GMM Pfaudler Ltd.,GMM,GMM PFAUDLER LTD.,Active,A ,2.00,INE541A01023,Industrial Equipments,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Equipments,
505355,Nesco Ltd,NESCO,NESCO LTD.,Active,A ,2.00,INE317F01035,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,
505509,Responsive Industries Ltd,RESPONIND,RESPONSIVE INDUSTRIES LTD.,Active,A ,1.00,INE688D01026,Furniture- Home Furnishing- Flooring,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing, Flooring",
505533,Westlife Development Ltd,WESTLIFE,WESTLIFE DEVELOPMENT LTD.,Active,A ,2.00,INE274F01020,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,
505537,Zee Entertainment Enterprises Ltd.,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LTD.,Active,A ,1.00,INE256A01028,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production,
505700,"Elecon Engineering Co.Ltd.,",ELECON,ELECON ENGINEERING CO.LTD.,Active,A ,2.00,INE205B01023,Industrial Equipments,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Equipments,
505714,Gabriel India Ltd.,GABRIEL,GABRIEL INDIA LTD.-$,Active,A ,1.00,INE524A01029,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
505726,IFB Industries Limited,IFBIND,IFB INDUSTRIES LTD.,Active,A ,10.00,INE559A01017,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,
505790,Schaeffler India Limited,SCHAEFFLER,Schaeffler India Ltd,Active,A ,2.00,INE513A01022,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
506022,"Prakash Industries Ltd.,",PRAKASH,PRAKASH INDUSTRIES LTD.,Active,A ,10.00,INE603A01013,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,
506076,Grindwell Norton Ltd.,GRINDWELL,GRINDWELL NORTON LTD.-$,Active,A ,5.00,INE536A01023,Abrasives,Equity,Industrials,Capital Goods,Industrial Products,Abrasives,
506235,Alembic  Ltd,ALEMBICLTD,ALEMBIC LTD.,Active,A ,2.00,INE426A01027,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
506285,Bayer CropScience Limited.,BAYERCROP,BAYER CROPSCIENCE LTD.,Active,A ,10.00,INE462A01022,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,
506395,Coromandel International Limited,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,Active,A ,1.00,INE169A01031,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,
506401,Deepak Nitrite Limited,DEEPAKNI,DEEPAK NITRITE LTD.-$,Active,A ,2.00,INE288B01029,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
506590,PCBL LIMITED,PCBL,PCBL Ltd,Active,A ,1.00,INE602A01031,Carbon Black,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Carbon Black,
506655,"Sudarshan Chemical Indus. Ltd.,",SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LTD.,Active,A ,2.00,INE659A01023,Dyes And Pigments,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,
506690,"Unichem Laboratories Ltd.,",UNICHEMLAB,UNICHEM LABORATORIES LTD.,Active,A ,2.00,INE351A01035,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
506767,"Alkyl Amines Chemicals Ltd.,",ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.-$,Active,A ,2.00,INE150B01039,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,
506820,AstraZeneca Pharma India Ltd.,ASTRAZEN,ASTRAZENECA PHARMA INDIA LTD.,Active,A ,2.00,INE203A01020,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
506943,J.B. Chemicals & Pharmaceuticals Lt,JBCHEPHARM,J.B.CHEMICALS & PHARMACEUTICALS LTD.,Active,A ,2.00,INE572A01028,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
507685,"Wipro  Ltd.,",WIPRO,WIPRO LTD.,Active,A ,2.00,INE075A01022,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,
507717,Dhanuka Agritech Ltd.,DHANUKA,DHANUKA AGRITECH LTD.,Active,A ,2.00,INE435G01025,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,
507815,Gillette India Ltd.,GILLETTE,GILLETTE INDIA LTD.,Active,A ,10.00,INE322A01010,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,
507880,"V.I.P. Industries Ltd.,",VIPIND,V.I.P.INDUSTRIES LTD.-$,Active,A ,2.00,INE054A01027,Plastic Products - Consumer,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,
508814,Cosmo First Limited,COSMOFIRST,Cosmo First Ltd,Active,A ,10.00,INE757A01017,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,
508869,"Apollo Hospitals Enterprises Ltd.,",APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD.,Active,A ,5.00,INE437A01024,Hospital,Equity,Healthcare,Healthcare,Healthcare Services,Hospital,
508989,Navneet Education Limited,NAVNETEDUL,Navneet Education Limited,Active,A ,2.00,INE060A01024,Printing & Publication,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication,
509480,Berger Paints India Ltd,BERGEPAINT,BERGER PAINTS INDIA LTD.,Active,A ,1.00,INE463A01038,Paints,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,
509488,Graphite India Ltd.,GRAPHITE,GRAPHITE INDIA LTD.,Active,A ,2.00,INE371A01025,Electrodes,Equity,Industrials,Capital Goods,Industrial Products,Electrodes,
509496,ITD Cementation India Ltd,ITDCEM,ITD CEMENTATION INDIA LTD.,Active,A ,1.00,INE686A01026,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,
509557,GARWARE TECHNICAL FIBRES LIMITED,GARFIBRES,Garware Technical Fibres Ltd,Active,A ,10.00,INE276A01018,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
509631,HEG Ltd.,HEG,HEG LTD.,Active,A ,10.00,INE545A01016,Electrodes,Equity,Industrials,Capital Goods,Industrial Products,Electrodes,
509675,HIL Limited,HIL,HIL LTD.,Active,A ,10.00,INE557A01011,Furniture- Home Furnishing- Flooring,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing, Flooring",
509930,"Supreme Industries Ltd.,",SUPREMEIND,SUPREME INDUSTRIES LTD.,Active,A ,2.00,INE195A01028,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,
509966,"VST Industries Ltd.,",VSTIND,VST INDUSTRIES LTD.,Active,A ,10.00,INE710A01016,Cigarettes & Tobacco Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,
511196,"Can Fin Homes Ltd.,",CANFINHOME,CAN FIN HOMES LTD.,Active,A ,2.00,INE477A01020,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company,
511218,Shriram Transport Finance Co. Ltd.,SRTRANSFIN,SHRIRAM TRANSPORT FINANCE CO.LTD.,Active,A ,10.00,INE721A01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511243,Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd,Active,A ,2.00,INE121A01024,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
511431,Vakrangee Limited,VAKRANGEE,Vakrangee Limited-$,Active,A ,1.00,INE051B01021,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,
512070,UPL Limited,UPL,UPL Limited,Active,A ,2.00,INE628A01036,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,
512179,Sunteck Realty Ltd,SUNTECK,SUNTECK REALTY LTD.,Active,A ,1.00,INE805D01034,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",
512237,Jai Corp Limited,JAICORPLTD,JAI CORP LTD.,Active,A ,1.00,INE070D01027,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,
512529,Sequent Scientific Limited,SEQUENT,SEQUENT SCIENTIFIC LTD.,Active,A ,2.00,INE807F01027,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,
512573,Avanti Feeds ltd.,AVANTI,AVANTI FEEDS LTD.-$,Active,A ,1.00,INE871C01038,Animal Feed,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Animal Feed,
512599,Adani Enterprises Ltd.,ADANIENT,ADANI ENTERPRISES LTD.,Active,A ,1.00,INE423A01024,Trading - Minerals,Equity,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,
513010,TATA STEEL LONG PRODUCTS LIMITED,TATASTLLP,Tata Steel Long Products Ltd,Active,A ,10.00,INE674A01014,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,
513023,NAVA LIMITED,NAVA,Nava Ltd,Active,A ,2.00,INE725A01022,Electric Utilities,Equity,Utilities,Power,Power,Electric Utilities,
513375,"Carborundum Universal Ltd.,",CARBORUNIV,CARBORUNDUM UNIVERSAL LTD.,Active,A ,1.00,INE120A01034,Abrasives,Equity,Industrials,Capital Goods,Industrial Products,Abrasives,
513377,"MMTC Ltd.,",MMTC,MMTC LTD.,Active,A ,1.00,INE123F01029,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,
513434,Tata Metaliks Ltd,TATAMETALI,TATA METALIKS LTD.,Active,A ,10.00,INE056C01010,Pig Iron,Equity,Commodities,Metals & Mining,Ferrous Metals,Pig Iron,
513446,JSW ISPAT SPECIAL PRODUCTS LIMITED,JSWISPL,JSW Ispat Special Products Ltd,Active,A ,10.00,INE743C01021,Sponge Iron,Equity,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron,
513599,Hindustan Copper Ltd.,HINDCOPPER,HINDUSTAN COPPER LTD.,Active,A ,5.00,INE531E01026,Copper,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Copper,
513683,NLC India Limited,NLCINDIA,NLC India Ltd,Active,A ,10.00,INE589A01014,Electric Utilities,Equity,Utilities,Power,Power,Electric Utilities,
514043,"Himatsingka Seide Ltd.,",HIMATSEIDE,HIMATSINGKA SEIDE LTD.,Active,A ,5.00,INE049A01027,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
514162,Welspun India Ltd,WELSPUNIND,WELSPUN INDIA LTD.,Active,A ,1.00,INE192B01031,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
515030,Asahi India Glass Ltd.,ASAHIINDIA,ASAHI INDIA GLASS LTD.,Active,A ,1.00,INE439A01020,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
517146,Usha Martin Ltd.,USHAMART,USHA MARTIN LTD.,Active,A ,1.00,INE228A01035,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,
517174,Honeywell Automation India Ltd.,HONAUT,HONEYWELL AUTOMATION INDIA LTD.,Active,A ,10.00,INE671A01010,Industrial Electronics,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Electronics,
517334,Samvardhana Motherson International Limited,MOTHERSON,Samvardhana Motherson International Ltd,Active,A ,1.00,INE775A01035,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
517354,Havells India Limited,HAVELLS,HAVELLS INDIA LTD.,Active,A ,1.00,INE176B01034,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,
517385,Symphony Limited,SYMPHONY,Symphony Limited,Active,A ,2.00,INE225D01027,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,
517506,TTK Prestige Ltd.,TTKPRESTIG,TTK PRESTIGE LTD.,Active,A ,1.00,INE690A01028,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,
517569,KEI Industries Ltd.,KEI,KEI INDUSTRIES LTD.,Active,A ,2.00,INE878B01027,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals,
519091,"Tasty Bite Eatables Ltd.,",TASTYBIT,TASTY BITE EATABLES LTD.,Active,A ,10.00,INE488B01017,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,
519126,"Hindustan Foods Ltd.,",HNDFDS,HINDUSTAN FOODS LTD.,Active,A ,2.00,INE254N01026,Diversified FMCG,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,
519552,Heritage Foods Limited,HERITGFOOD,Heritage Foods Limited,Active,A ,5.00,INE978A01027,Dairy Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products,
519600,CCL Products (India) Ltd.,CCL,CCL PRODUCTS (INDIA) LTD.,Active,A ,2.00,INE421D01022,Tea & Coffee,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,
520051,"Jamna Auto Industries Ltd.,",JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD.,Active,A ,1.00,INE039C01032,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
520056,Sundaram Clayton Ltd.,SUNCLAYLTD,SUNDARAM-CLAYTON LTD.,Active,A ,5.00,INE105A01035,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,
520111,Ratnamani Metals & Tubes Ltd,RATNAMANI,RATNAMANI METALS & TUBES LTD.-$,Active,A ,2.00,INE703B01027,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,
521016,Indo Count Industries Ltd,ICIL,INDO COUNT INDUSTRIES LTD.,Active,A ,2.00,INE483B01026,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
521064,Trident Ltd,TRIDENT,TRIDENT LTD.,Active,A ,1.00,INE064C01022,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,
521248,Kitex Garmenets Ltd.,KITEX,KITEX GARMENTS LTD.,Active,A ,1.00,INE602G01020,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,
522074,"Elgi Equipments Ltd.,",ELGIEQUIP,ELGI EQUIPMENTS LTD.,Active,A ,1.00,INE285A01027,Compressors & Pumps,Equity,Industrials,Capital Goods,Industrial Products,Compressors & Pumps,
522113,Timken India Ltd,TIMKEN,TIMKEN INDIA LTD.,Active,A ,10.00,INE325A01013,Bearings,Equity,Industrials,Capital Goods,Industrial Products,Bearings,
522205,Praj Industries Ltd.,PRAJIND,PRAJ INDUSTRIES LTD.,Active,A ,2.00,INE074A01025,Engineering & Construction products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Engineering & Construction products,
522215,HLE GLASCOAT LIMITED,HLEGLAS,HLE Glascoat Ltd,Active,A ,10.00,INE461D01010,Industrial Equipments,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Equipments,
522249,Mayur Uniquoters ltd.,MAYURUNIQ,MAYUR UNIQUOTERS LTD.-$,Active,A ,5.00,INE040D01038,Leather And Leather Products,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,
522287,Kalpataru Power Transmission Ltd.,KALPATPOWR,KALPATARU POWER TRANSMISSION LTD.,Active,A ,2.00,INE220B01022,Engineering- Designing & Construction,Equity,Industrials,Construction,Construction,"Engineering, Designing & Construction",
523261,Venky's (India) ltd.,VENKYS,VENKY'S (INDIA) LTD.,Active,A ,10.00,INE398A01010,Packaged Foods,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,
523319,"Balmer Lawrie & Co. Ltd.,",BALMLAWRIE,BALMER LAWRIE & CO.LTD.,Active,A ,10.00,INE164A01016,Diversified,Equity,Diversified,Diversified,Diversified,Diversified,
523367,DCM Shriram Limited,DCMSHRIRAM,DCM Shriram Limited,Active,A ,2.00,INE499A01024,Diversified,Equity,Diversified,Diversified,Diversified,Diversified,
523385,Nilkamal Limited,NILKAMAL,NILKAMAL LTD.,Active,A ,10.00,INE310A01015,Plastic Products - Consumer,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer,
523395,3M India Ltd.,3MINDIA,3M INDIA LTD.,Active,A ,10.00,INE470A01017,Diversified,Equity,Diversified,Diversified,Diversified,Diversified,
523398,Johnson Controls-Hitachi Air Conditioning India Ltd.,JCHAC,Johnson Controls-Hitachi Air Conditioning India Ltd,Active,A ,10.00,INE782A01015,Air Conditioner,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Air Conditioner,
523405,JM Financial Limited,JMFINANCIL,JM FINANCIAL LTD.-$,Active,A ,1.00,INE780C01023,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,
523445,Reliance Industrial Infrastructure,RIIL,RELIANCE INDUSTRIAL INFRASTRUCTURE LTD.,Active,A ,10.00,INE046A01015,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,
523457,Linde India Limited,LINDEINDIA,Linde India Limited,Active,A ,10.00,INE473A01011,Industrial Gases,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases,
523598,Shipping Corporation Of India Ltd,SCI,SHIPPING CORPORATION OF INDIA LTD.,Active,A ,10.00,INE109A01011,Shipping,Equity,Services,Services,Transport Services,Shipping,
523610,ITI Limited (Indian Teleph.Ind.Ltd),ITI,ITI LTD.,Active,A ,10.00,INE248A01017,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,
